Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1619703195384,3.4,13.9,"20 km ENE of Kaltag, Alaska",64.3783,-158.3216,earthquake,reviewed,0,,178,,ak
1619700028414,2.5,1.2,"90 km NNW of Aleneva, Alaska",58.7571,-153.689,earthquake,reviewed,0,,96,,ak
1619589721863,2.7,111.3,"18 km WSW of McKinley Park, Alaska",63.6559,-149.2423,earthquake,reviewed,0,,112,,ak
1619565773453,2.5,69.9,"67 km WSW of Nanwalek, Alaska",59.1224,-153.0094,earthquake,reviewed,0,,96,,ak
1619546076235,4.8,43.8,Southern Alaska,61.3423,-149.9799,earthquake,reviewed,1,green,774,,ak
1619544360418,4.1,5.5,"43 km NNE of Chenega, Alaska",60.4204,-147.6998,earthquake,reviewed,1,green,295,,ak
1619490733395,3.7,127.8,"85 km ESE of Egegik, Alaska",57.889,-156.0718,earthquake,reviewed,0,,211,,ak
1619474380955,3.2,1.1,"59 km ENE of Ouzinkie, Alaska",58.1831,-151.6217,earthquake,reviewed,0,,158,,ak
1619447149823,2.5,61.6,"58 km SSE of Cantwell, Alaska",62.9393,-148.3494,earthquake,reviewed,0,,96,,ak
1619443474334,2.5,108.8,"52 km E of Pedro Bay, Alaska",59.706,-153.1928,earthquake,reviewed,0,,96,,ak
1619441705407,2.5,146.1,"59 km E of Port Alsworth, Alaska",60.1901,-153.2487,earthquake,reviewed,0,,96,,ak
1619434935191,2.5,76.8,"42 km NW of Ninilchik, Alaska",60.3229,-152.2104,earthquake,reviewed,0,,96,,ak
1619371935089,2.8,28.4,"42 km N of Chickaloon, Alaska",62.1736,-148.5483,earthquake,reviewed,0,,121,,ak
1619338898343,3.2,12.5,"13 km NNW of Glennallen, Alaska",62.2163,-145.6801,earthquake,reviewed,0,,158,,ak
1619226344438,2.9,21.9,"50 km NNE of Chickaloon, Alaska",62.2308,-148.1903,earthquake,reviewed,0,,130,,ak
1619142727596,3.0,44.9,"4 km NW of Big Lake, Alaska",61.5452,-150.0245,earthquake,reviewed,0,,140,,ak
1619132927713,2.8,13.5,"66 km NW of Lake Minchumina, Alaska",64.3316,-153.209,earthquake,reviewed,0,,121,,ak
1619119782713,2.8,3.7,"102 km SSE of Nikolai, Alaska",62.2197,-153.3644,earthquake,reviewed,0,,121,,ak
1619114587734,2.6,51.3,"12 km ENE of Point Possession, Alaska",60.9654,-150.4751,earthquake,reviewed,0,,104,,ak
1619052343235,2.7,61.9,"8 km SW of Clam Gulch, Alaska",60.1818,-151.5187,earthquake,reviewed,0,,112,,ak
1618905352506,2.7,64.3,"Kenai Peninsula, Alaska",60.1796,-151.9248,earthquake,reviewed,0,,112,,ak
1618898307714,2.8,142.1,"58 km SE of King Salmon, Alaska",58.2769,-156.0275,earthquake,reviewed,0,,121,,ak
1618885803264,2.6,86.3,"39 km W of Kalifornsky, Alaska",60.4558,-152.0076,earthquake,reviewed,0,,104,,ak
1618862763692,3.1,38.7,"2 km W of Point MacKenzie, Alaska",61.3633,-150.0297,earthquake,reviewed,0,,151,,ak
